timestamp,length,src_ip,dst_ip,ipg
1736658000.205078,90,206.45.31.9,203.182.169.136,0.0
1736658000.205207,305,206.45.31.9,203.182.169.136,0.00012922286987304688
1736658000.205611,90,203.182.169.136,206.45.31.9,0.0004038810729980469
1736658000.205615,90,203.182.169.136,206.45.31.9,4.0531158447265625e-06
1736658000.212586,98,203.182.169.136,206.45.31.9,0.006970882415771484
1736658000.247686,98,206.45.31.9,203.182.169.136,0.03509998321533203
1736658000.248107,90,203.182.169.136,206.45.31.9,0.0004210472106933594
1736658000.248109,360,203.182.169.136,206.45.31.9,2.1457672119140625e-06
1736658000.285552,98,206.45.31.9,203.182.169.136,0.037442922592163086
1736658000.286009,90,203.182.169.136,206.45.31.9,0.0004570484161376953
1736658000.286011,333,203.182.169.136,206.45.31.9,1.9073486328125e-06
1736658000.327757,172,206.45.31.9,203.182.169.136,0.041745901107788086
1736658000.327998,172,206.45.31.9,203.182.169.136,0.0002410411834716797
1736658000.328225,78,203.182.169.136,206.45.31.9,0.0002269744873046875
1736658000.328477,78,203.182.169.136,206.45.31.9,0.00025200843811035156
1736658000.336406,90,206.45.31.9,203.182.169.136,0.007929086685180664
1736658000.336522,307,206.45.31.9,203.182.169.136,0.00011610984802246094
1736658000.336992,90,203.182.169.136,206.45.31.9,0.0004699230194091797
1736658000.336995,90,203.182.169.136,206.45.31.9,2.86102294921875e-06
1736658000.338006,90,206.45.31.9,203.182.169.136,0.0010111331939697266
1736658000.338095,305,206.45.31.9,203.182.169.136,8.893013000488281e-05
1736658000.338477,90,203.182.169.136,206.45.31.9,0.0003819465637207031
1736658000.338479,90,203.182.169.136,206.45.31.9,2.1457672119140625e-06
1736658000.353686,90,206.45.31.9,203.182.169.136,0.015207052230834961
1736658000.353821,179,206.45.31.9,203.182.169.136,0.00013494491577148438
1736658000.354217,90,203.182.169.136,206.45.31.9,0.0003960132598876953
1736658000.35446,90,203.182.169.136,206.45.31.9,0.0002429485321044922
1736658000.356439,90,206.45.31.9,203.182.169.136,0.0019791126251220703
1736658000.356565,312,206.45.31.9,203.182.169.136,0.000125885009765625
1736658000.356944,90,203.182.169.136,206.45.31.9,0.0003790855407714844
1736658000.357012,90,203.182.169.136,206.45.31.9,6.794929504394531e-05
1736658000.366792,90,206.45.31.9,203.182.169.136,0.009779930114746094
1736658000.367246,90,203.182.169.136,206.45.31.9,0.000453948974609375
1736658000.421986,98,203.182.169.136,206.45.31.9,0.054740190505981445
1736658000.440055,90,206.45.31.9,203.182.169.136,0.018068790435791016
1736658000.440467,90,203.182.169.136,206.45.31.9,0.0004119873046875
1736658000.47332,90,206.45.31.9,203.182.169.136,0.032853126525878906
1736658000.473483,322,206.45.31.9,203.182.169.136,0.00016307830810546875
1736658000.473866,90,203.182.169.136,206.45.31.9,0.0003829002380371094
1736658000.473925,90,203.182.169.136,206.45.31.9,5.91278076171875e-05
1736658000.487966,93,203.182.169.136,206.45.31.9,0.014040946960449219
1736658000.488093,107,203.182.169.136,206.45.31.9,0.00012683868408203125
1736658000.511125,90,206.45.31.9,203.182.169.136,0.023032188415527344
1736658000.511239,303,206.45.31.9,203.182.169.136,0.00011396408081054688
1736658000.511622,90,203.182.169.136,206.45.31.9,0.0003829002380371094
1736658000.511624,90,203.182.169.136,206.45.31.9,2.1457672119140625e-06
1736658000.561438,90,206.45.31.9,203.182.169.136,0.04981398582458496
1736658000.561842,90,203.182.169.136,206.45.31.9,0.0004038810729980469
1736658000.565522,98,203.182.169.136,206.45.31.9,0.003679990768432617
1736658000.56574,98,203.182.169.136,206.45.31.9,0.0002181529998779297
1736658000.565909,90,206.45.31.9,203.182.169.136,0.00016880035400390625
1736658000.566013,98,203.182.169.136,206.45.31.9,0.00010418891906738281
1736658000.56631,90,203.182.169.136,206.45.31.9,0.0002968311309814453
1736658000.580899,90,206.45.31.9,203.182.169.136,0.014589071273803711
1736658000.58136,90,203.182.169.136,206.45.31.9,0.0004611015319824219
1736658000.58293,108,203.182.169.136,206.45.31.9,0.001569986343383789
1736658000.590879,90,206.45.31.9,203.182.169.136,0.007948875427246094
1736658000.591365,90,203.182.169.136,206.45.31.9,0.00048613548278808594
1736658000.602731,98,203.182.169.136,206.45.31.9,0.011365890502929688
1736658000.614023,98,203.182.169.136,206.45.31.9,0.011291980743408203
1736658000.650375,98,203.182.169.136,206.45.31.9,0.036351919174194336
1736658000.660664,98,203.182.169.136,206.45.31.9,0.010289192199707031
1736658000.663797,98,203.182.169.136,206.45.31.9,0.0031328201293945312
1736658000.664136,98,203.182.169.136,206.45.31.9,0.0003390312194824219
1736658000.664138,98,203.182.169.136,206.45.31.9,2.1457672119140625e-06
