time_bin,108.157.197.249,114.88.220.88,114.89.253.74,114.90.81.145,114.91.197.89,122.186.139.92,122.187.198.104,133.131.120.65,139.218.6.53,150.134.1.139,175.117.128.64,2.41.166.242,2.46.183.85,202.10.138.64,202.10.138.66,202.10.150.255,202.10.160.235,202.155.37.145,203.182.168.38,203.182.169.136,206.45.31.9,218.45.26.176,34.138.244.65,46.0.249.3,47.52.63.45,47.58.206.244,5.68.16.222,59.48.217.38,61.68.162.64
2025-01-12 05:00:00,3,0,2,1,15,0,4,0,2,1,0,0,0,0,0,0,0,0,3,6738,4024,2,20,0,1,0,0,2,0
2025-01-12 05:01:00,3,0,0,1,9,0,13,0,2,0,1,1,1,0,0,0,0,0,0,6988,4207,0,19,0,0,0,0,3,3
2025-01-12 05:02:00,3,0,0,0,12,0,2,0,0,0,0,1,3,0,0,1,0,0,0,6517,3971,2,13,0,0,0,0,5,3
2025-01-12 05:03:00,6,1,1,0,11,0,3,0,0,0,0,1,2,0,0,0,0,0,3,7177,5118,4,11,0,0,0,0,3,5
2025-01-12 05:04:00,2,0,1,0,7,0,1,0,0,0,1,1,3,0,0,0,0,0,1,6710,4183,1,14,0,0,0,0,6,3
2025-01-12 05:05:00,0,0,1,2,10,0,6,0,1,1,2,0,0,0,0,0,0,1,0,5732,3343,0,13,0,1,0,0,3,2
2025-01-12 05:06:00,2,0,2,1,14,0,5,0,0,0,2,2,2,0,0,0,1,0,5,10720,12316,6,13,0,0,0,0,0,4
2025-01-12 05:07:00,2,0,0,1,11,0,5,0,0,0,1,0,1,0,0,0,0,0,1,11081,12377,1,20,0,0,0,0,2,3
2025-01-12 05:08:00,0,0,1,0,17,0,5,0,0,0,0,1,3,0,0,0,0,0,0,9467,9933,0,61,0,1,0,0,6,4
2025-01-12 05:09:00,3,0,2,1,14,1,5,0,1,0,0,0,2,0,0,0,0,0,3,18806,27623,6,23,1,1,0,0,2,1
2025-01-12 05:10:00,1,1,2,0,5,0,2,0,0,0,0,0,1,1,1,0,0,0,0,34906,60044,1,12,0,0,0,0,8,2
2025-01-12 05:11:00,3,0,0,0,19,0,6,0,1,0,0,0,1,0,0,0,0,0,0,39764,70123,0,13,0,1,0,0,5,1
2025-01-12 05:12:00,3,0,2,0,11,0,5,1,0,0,0,0,0,0,0,0,0,0,4,3225,1034,5,13,0,0,0,0,3,3
2025-01-12 05:13:00,4,0,3,1,14,0,5,0,2,0,1,0,2,0,0,0,0,0,3,3090,1762,2,23,0,1,0,3,2,0
2025-01-12 05:14:00,2,0,1,0,5,0,6,0,0,0,1,1,0,0,0,0,0,0,0,157,184,0,20,0,2,1,0,3,0
2025-01-12 05:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
