206.45.31.9 -> Bursts: 198243, Long gaps: 0
203.182.169.136 -> Bursts: 144215, Long gaps: 0
203.182.168.38 -> Bursts: 1, Long gaps: 17
114.91.197.89 -> Bursts: 1, Long gaps: 61
34.138.244.65 -> Bursts: 41, Long gaps: 94
114.89.253.74 -> Bursts: 0, Long gaps: 16
114.90.81.145 -> Bursts: 0, Long gaps: 7
218.45.26.176 -> Bursts: 0, Long gaps: 17
47.52.63.45 -> Bursts: 0, Long gaps: 7
108.157.197.249 -> Bursts: 0, Long gaps: 25
122.187.198.104 -> Bursts: 0, Long gaps: 46
59.48.217.38 -> Bursts: 0, Long gaps: 37
139.218.6.53 -> Bursts: 0, Long gaps: 7
175.117.128.64 -> Bursts: 0, Long gaps: 8
61.68.162.64 -> Bursts: 0, Long gaps: 26
2.46.183.85 -> Bursts: 0, Long gaps: 18
2.41.166.242 -> Bursts: 0, Long gaps: 6
